"Nombre","Altura","Nac","Sueldo neto","Club","División","Edad","Posición","Valor de traspaso","Vis","Vel","Val","1v1","Lib","Lej","Téc","Tal","Ser","Sq L","Pue","Cór","Saq","SAL","Sac","Res","Rem","Reg","Ref","Fís","Pen","Pas","Mar","Mdo","Lid","JEq","Puñ","Fue","Exc","Equ","Ent","Det","Dmq","Dec","Ctr","Cnc","Com","Col","Cen","Cab","Blo","Ant","Sal2","Aér","Agr","Agi","Ace","Rec","Inf","RM"
"Maissa Ndiaye","180 cm","SEN","2.400 € p/m","Roma","Serie A italiana","19","DF (C)","12m € - 130m €","6","13","16","2","2","6","8","2","11","3","3","3","3","1","16","11","6","5","3","15","5","7","12","3","8","13","3","13","2","13","12","14","5","8","9","8","3","11","5","10","3","12","12","1","17","10","13","- - -","Ced",""
"Giacomo Moretti","188 cm","ITA","1.300 € p/m","Lazio","Serie A italiana","18","POR","28m € - 300m €","7","13","14","10","5","2","5","2","5","1","14","4","7","10","7","6","3","3","11","13","3","9","1","6","1","8","9","5","5","8","1","5","1","14","1","11","9","7","3","1","14","9","14","9","13","10","14","- - -","Seg",""
"Guillaume Renault","178 cm","ITA","2.200 € p/m","Atalanta","Serie A italiana","19","DF/CR (D)","40m € - 375m €","11","11","8","2","9","9","12","7","10","7","1","8","3","2","13","10","7","11","1","15","6","11","8","1","7","12","3","8","2","12","8","15","11","11","11","10","2","8","11","5","3","10","8","1","11","13","12","- - -","Seg",""
"Filippo Tripi","185 cm","ITA","2.400 € p/m","Roma","Serie A italiana","19","DF (C), MC, ME (C)","450m € - 1,3M €","11","12","13","2","5","9","11","8","11","5","2","5","2","3","16","11","8","9","1","13","8","12","10","2","12","16","1","10","1","11","11","11","10","11","11","11","1","12","8","11","2","10","12","2","14","9","10","- - -","Ced",""
"Lukáš Vorlický","185 cm","CZE","2.900 € p/m","Atalanta","Serie A italiana","19","ME (C), MP (IC)","110m € - 1,1M €","11","12","7","3","8","12","14","14","12","4","1","8","3","2","11","11","11","13","2","15","9","10","4","1","6","9","3","13","4","12","5","14","10","9","13","12","3","4","9","7","3","12","12","4","7","12","11","- - -","Ced",""
"Ramón Bueno","183 cm","ESP","5.500 € p/m","Villarreal B","Primera División Federación B española","26","DF (C), MC, ME (C)","95m €","9","14","9","3","7","6","10","6","10","4","2","5","2","1","10","7","7","4","3","9","6","10","12","1","7","9","1","9","2","9","11","10","7","14","10","13","4","14","7","10","3","11","9","3","5","11","14","- - -","Les",""
"Adli Mohamed","188 cm","UAE","700 € p/m","Southampton","Premier Division inglesa","16","POR","28m € - 275m €","4","11","14","6","5","2","3","2","6","1","9","1","5","10","5","1","1","3","6","15","1","8","2","9","8","6","6","5","5","6","1","6","2","13","1","8","6","8","1","1","10","10","11","13","12","12","12","- - -","Juv",""
"Franci Bouebari","190 cm","FRA","400 € p/m","Strasbourg","Ligue 1 Uber Eats","17","DF (C)","12m € - 110m €","3","7","9","2","2","5","6","5","9","4","2","5","2","2","9","6","6","5","2","5","2","9","8","2","5","8","2","8","2","9","14","9","6","8","9","10","3","10","3","9","1","8","17","1","5","8","6","- - -","Juv",""
"Alejandro Rego","192 cm","ESP","1.600 € p/m","A. Bilbao B","Primera División Federación A española","18","MC, ME (C)","110m € - 1,1M €","11","12","8","2","6","10","11","5","4","2","2","4","1","2","11","7","6","5","1","6","1","12","6","2","6","7","1","5","3","7","12","4","7","13","11","7","2","7","6","5","3","9","12","3","10","9","13","- - -","",""
"Mathaeus Roberts","178 cm","WAL","700 € p/m","Arsenal","Premier Division inglesa","16","ME (C)","20m € - 210m €","11","10","5","3","6","10","11","14","6","1","2","3","3","2","8","5","9","10","3","7","2","8","8","3","2","13","1","6","2","5","8","2","9","14","8","5","4","5","2","6","2","10","5","3","7","8","14","- - -","Juv",""
"Keelan Williams","178 cm","WAL","700 € p/m","Burnley","Premier Division inglesa","17","DF (D)","10m € - 110m €","9","10","9","1","4","4","11","5","7","7","3","5","1","1","9","8","3","4","1","14","2","5","9","3","12","9","3","9","3","9","8","3","8","16","10","10","1","7","5","9","3","11","7","3","6","12","9","- - -","Juv",""
"Jack Leckie","192 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","17","DF (C)","4,5m € - 45m €","4","7","7","1","3","1","4","5","5","1","3","1","1","2","5","3","3","2","1","12","1","5","12","3","8","4","2","5","1","5","12","13","1","12","4","4","3","12","1","11","1","9","14","2","12","8","11","- - -","Juv",""
"Amir Feratović","189 cm","SVN","3.600 € p/m","Roma","Serie A italiana","19","DF (C)","70m € - 700m €","7","11","15","1","4","4","8","5","11","6","1","3","3","1","14","12","5","6","1","14","3","9","13","1","9","14","3","13","2","12","12","15","4","12","7","9","2","12","4","11","3","10","13","3","15","9","11","- - -","Seg",""
"George Walters","182 cm","WAL","700 € p/m","Burnley","Premier Division inglesa","17","ME (I)","18m € - 190m €","9","10","1","1","8","9","11","9","10","7","3","8","2","1","12","7","9","9","1","14","5","6","8","2","12","9","3","6","3","9","6","7","6","12","10","6","1","5","12","8","1","9","11","3","15","10","12","- - -","Juv",""
"Sean Etaluku","174 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","17","ME/MP (I)","7m € - 75m €","8","12","5","1","5","6","8","8","7","5","1","7","2","2","7","8","6","10","2","9","1","10","5","2","5","6","1","4","1","6","4","11","6","11","9","3","1","2","8","4","1","3","3","2","15","12","13","- - -","Juv",""
"Jacson Coppack","178 cm","NIR","700 € p/m","Burnley","Premier Division inglesa","17","ME (C)","45m € - 130m €","4","12","6","1","6","8","8","5","7","1","3","6","2","2","13","9","6","6","2","13","2","12","3","2","6","8","2","5","2","14","7","17","9","14","7","7","1","7","6","4","1","7","7","2","15","9","8","- - -","Juv",""
"Will Hugill","173 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","17","ME (C)","7m € - 75m €","11","8","6","2","5","6","13","5","4","1","3","5","3","3","16","9","6","5","2","10","1","13","8","2","11","9","4","6","3","6","5","11","11","12","13","6","3","4","5","5","1","5","3","2","12","8","9","- - -","Juv",""
"Ayyuba Jambang","174 cm","ENG","700 € p/m","Norwich","Premier Division inglesa","16","DF (D)","180m € - 500m €","8","13","6","4","4","5","8","5","9","4","3","4","1","1","12","15","4","7","2","17","4","8","9","2","7","6","3","8","1","11","9","12","5","7","6","5","3","8","7","6","3","7","8","4","4","12","13","- - -","Juv",""
"Kade Ratchford","161 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","17","ME/MP (C)","14m € - 150m €","8","12","7","1","4","7","10","8","6","5","2","1","4","1","9","5","7","4","1","13","3","11","3","3","3","6","3","1","2","6","7","12","5","13","11","6","1","4","1","5","3","6","4","3","15","12","13","- - -","Juv",""
"Ronnie McGrath","177 cm","ENG","700 € p/m","Leeds","Premier Division inglesa","16","MP (DIC)","55m € - 550m €","11","7","6","2","7","9","12","15","8","3","1","7","1","2","9","5","9","12","2","12","6","7","7","3","11","8","3","4","3","3","9","12","11","12","15","5","1","5","9","8","4","10","5","2","7","7","6","- - -","Juv",""
"Jacob Hamilton","186 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","16","MP (DI), DL (C)","6m € - 60m €","7","12","1","2","5","3","10","10","5","1","4","6","1","2","8","5","10","13","3","11","2","11","4","3","11","6","1","4","2","5","2","4","12","7","14","6","2","6","6","8","3","10","12","1","14","9","13","- - -","Juv",""
"Jaami Qureshi","181 cm","IRQ","700 € p/m","Brighton","Premier Division inglesa","17","MP (DIC)","22m € - 220m €","8","13","6","1","7","8","9","8","7","4","2","8","3","2","7","7","9","8","3","12","3","9","4","2","12","8","1","9","2","9","4","10","7","7","7","8","2","6","7","8","2","8","9","4","5","8","13","- - -","Juv",""
"Joe Smyth-Ferguson","183 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","16","DL (C)","45m € - 140m €","6","12","6","3","5","5","8","11","8","1","3","4","2","2","14","9","8","13","3","12","4","5","2","3","9","7","3","6","2","5","1","7","11","5","8","6","2","5","2","13","2","8","10","2","14","9","13","- - -","Juv",""
"Reece Trueman","184 cm","ENG","700 € p/m","Norwich","Premier Division inglesa","16","POR","40m € - 425m €","8","8","13","11","6","1","10","1","10","2","10","4","10","14","8","8","2","3","10","10","3","7","3","8","6","9","10","10","5","4","1","11","1","7","8","8","9","9","3","3","10","8","10","9","13","9","8","- - -","Juv",""
"Mattia Tavanti","184 cm","ITA","900 € p/m","Atalanta","Serie A italiana","16","DF (C)","4m € - 40m €","3","8","7","3","1","3","5","5","4","1","2","2","3","4","4","6","2","1","2","12","6","7","11","2","2","6","3","7","1","7","13","13","2","14","3","6","1","12","2","5","2","7","14","3","12","8","7","- - -","Juv",""
"Will Brown","183 cm","ENG","1.800 € p/m","Newcastle","Premier Division inglesa","19","POR","2m € - 20m €","5","10","14","11","5","1","1","3","6","2","11","4","3","5","4","1","3","2","13","13","2","11","2","8","5","5","5","4","15","3","3","15","1","12","1","8","9","5","3","1","8","4","10","13","8","8","11","- - -","",""
"Malachi Boateng","184 cm","ENG","1.900 € p/m","Crystal Palace","Premier Division inglesa","19","DF (DC), MC, ME (C)","0 € - 95m €","6","12","8","2","5","6","7","6","7","1","2","2","2","3","7","6","1","4","2","14","1","11","10","2","9","2","3","4","2","6","11","4","5","13","5","6","3","8","1","7","2","8","7","1","6","10","11","- - -","",""
"Benn Ward","174 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","17","ME (C)","16m € - 150m €","5","13","5","2","5","7","13","5","9","1","2","5","1","2","11","9","4","2","2","13","3","11","3","1","8","6","3","4","2","6","5","16","4","11","11","6","2","4","4","2","3","6","3","1","12","13","13","- - -","Juv",""
"David Palade","177 cm","ROU","900 € p/m","Torino","Serie A italiana","17","DL (C)","22m € - 210m €","5","12","6","1","3","5","11","12","6","4","2","4","2","3","5","7","12","10","3","9","4","2","1","1","9","4","3","6","3","5","1","3","12","9","6","5","1","5","4","11","3","7","6","3","7","12","12","- - -","Ced",""
"Jamie Pardington","195 cm","ENG","1.900 € p/m","Wolves","Premier Division inglesa","20","POR","24m € - 230m €","2","10","15","5","8","1","3","1","6","1","9","3","8","12","5","1","1","1","13","15","2","5","3","10","11","6","8","6","5","6","1","17","2","13","1","6","5","4","3","1","13","5","16","13","13","5","9","- - -","Ced",""
"Andrea Coati","162 cm","ITA","900 € p/m","Atalanta","Serie A italiana","16","ME (C)","35m € - 110m €","10","13","4","4","6","14","11","6","4","1","3","6","2","3","12","9","6","3","1","16","3","14","10","3","10","7","3","1","1","7","8","11","4","5","12","7","3","5","6","6","1","5","1","3","7","12","12","- - -","Juv",""
"Marco Palestra","167 cm","ITA","900 € p/m","Atalanta","Serie A italiana","16","ME (C)","20m € - 190m €","12","12","7","1","6","9","11","11","11","2","2","6","1","3","9","8","7","5","3","9","6","14","11","1","4","7","2","3","3","7","8","16","6","12","10","3","1","4","5","5","3","6","3","1","7","9","13","- - -","Juv",""
"Joel Connolly","185 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","18","DF/CR (D)","40m € - 120m €","8","12","7","1","1","6","8","5","9","6","1","3","2","4","9","10","6","8","3","15","5","6","7","3","12","8","2","6","2","8","11","13","7","8","10","6","3","8","4","6","2","8","12","2","13","11","14","- - -","Juv",""
"Tremaine Eastmond","193 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","17","ME/MP (C)","16m € - 170m €","7","12","7","1","5","7","9","9","4","1","2","5","1","1","12","8","5","7","1","11","1","13","3","3","1","7","2","6","2","4","5","5","7","10","13","6","2","6","6","2","2","3","10","3","5","10","13","- - -","Juv",""
"Patrick Gânţe","180 cm","ROU","1.000 € p/m","Roma","Serie A italiana","17","DL (C)","55m € - 160m €","4","11","7","3","6","6","10","9","11","1","2","4","3","1","7","6","14","10","1","9","6","6","5","1","10","6","3","5","3","7","1","13","11","7","12","7","2","3","4","14","4","10","8","1","12","9","12","- - -","Juv",""
"Corey Brennan","177 cm","ENG","700 € p/m","Burnley","Premier Division inglesa","18","ME (C)","4,5m € - 45m €","6","8","6","1","1","6","12","5","8","6","1","5","2","3","12","8","2","3","3","14","1","13","4","1","10","7","1","4","1","7","9","16","9","14","10","7","3","7","6","1","4","7","5","1","9","11","13","- - -","Juv",""
"Rowan Smith","184 cm","ENG","700 € p/m","Crystal Palace","Premier Division inglesa","18","ME (C)","0 € - 55m €","13","11","5","3","7","10","8","5","7","2","1","7","1","3","11","7","8","8","3","14","3","8","11","2","2","8","2","6","1","8","5","2","8","10","13","8","3","6","7","7","1","9","10","1","11","10","12","- - -","Juv",""
"Alessandro Serra","173 cm","ITA","900 € p/m","Cagliari","Serie A italiana","16","ME (C)","3m € - 28m €","6","13","2","1","3","6","11","8","4","1","2","1","1","2","11","7","4","5","3","13","2","13","6","1","5","7","2","4","3","6","11","11","7","10","12","3","3","7","4","4","3","4","7","3","14","13","13","- - -","Juv",""
"Cristian Serra","164 cm","ITA","900 € p/m","Cagliari","Serie A italiana","16","ME (C)","0 € - 85m €","14","11","3","1","6","5","11","5","9","1","3","3","2","2","12","8","4","4","1","14","4","13","10","2","6","7","1","1","3","4","7","7","8","10","12","6","1","4","6","5","2","4","3","1","12","10","11","- - -","Juv",""
"Filippo Ghilardo","185 cm","ITA","1.300 € p/m","Verona","Serie A italiana","17","DF (C)","0 € - 75m €","1","7","6","3","1","3","1","5","1","1","2","1","3","3","4","6","3","1","1","14","1","4","12","3","9","3","1","5","4","4","10","5","3","12","4","6","2","6","1","11","3","9","13","2","11","11","12","- - -","Ced",""
"Sergio Sartini","177 cm","ROU","900 € p/m","Empoli","Serie A italiana","17","DF (DC)","0 € - 90m €","3","8","7","2","7","7","8","5","8","1","2","7","1","2","8","8","3","7","3","11","3","9","9","4","4","8","3","7","1","8","12","8","4","12","5","10","4","11","8","9","3","8","10","3","8","6","8","- - -","Juv",""
"Max Thompson","190 cm","ENG","700 € p/m","Newcastle","Premier Division inglesa","16","POR","14m € - 140m €","5","8","12","10","6","3","4","2","6","2","5","2","7","15","5","1","3","2","13","6","3","9","1","11","9","6","5","4","14","4","2","18","1","13","1","7","5","3","1","1","13","9","11","7","15","9","7","- - -","Juv",""
"Paul Appiah","188 cm","GHA","3.100 € p/m","Aston Villa","Premier Division inglesa","18","DF (C)","5m € - 50m €","4","14","12","2","2","6","7","5","7","4","2","5","3","3","10","12","8","6","2","15","3","7","7","1","8","12","1","10","3","12","8","3","4","6","9","10","2","8","6","10","4","9","13","1","10","7","15","- - -","",""
"Jacopo Fazzini","170 cm","ITA","900 € p/m","Empoli","Serie A italiana","18","ME (C)","14m € - 130m €","11","11","12","2","6","8","10","7","9","5","3","9","3","1","11","10","7","9","1","10","7","11","7","1","5","10","3","8","2","8","8","8","12","11","10","10","1","8","9","7","1","11","7","3","10","11","12","- - -","Ced",""
"Joe O'Shaughnessy","199 cm","ENG","1.400 € p/m","Wolves","Premier Division inglesa","18","POR","40m € - 375m €","4","4","14","11","5","3","1","1","1","2","6","2","2","6","4","1","2","2","12","13","2","10","3","8","1","5","11","5","5","5","2","7","3","12","1","12","4","5","1","1","12","7","11","8","10","12","9","- - -","Ced",""
"Jordan Harrison","188 cm","AUS","700 € p/m","Watford","Premier Division inglesa","18","DF (D), ME (C), MP (D)","22m € - 230m €","8","11","8","2","12","12","7","7","7","7","2","10","2","2","9","7","8","7","2","14","4","7","8","4","8","9","3","6","1","6","9","15","13","6","7","9","3","6","8","7","1","5","6","2","5","10","13","- - -","Les",""
"Joe Sheridan","185 cm","ENG","700 € p/m","Crystal Palace","Premier Division inglesa","17","DF (C)","0 € - 100m €","1","12","6","3","1","3","2","5","2","2","1","1","3","2","5","2","1","1","3","15","1","5","10","1","7","4","1","10","1","5","10","17","1","10","5","8","1","9","1","9","2","9","12","2","9","12","11","- - -","Juv",""
"Cameron Lewis-Brown","161 cm","ENG","700 € p/m","Crystal Palace","Premier Division inglesa","17","DF (D)","0 € - 90m €","2","9","8","3","10","1","7","6","6","2","1","4","1","1","12","11","2","7","4","13","2","6","11","1","1","7","2","1","2","14","12","9","9","12","12","11","3","12","9","12","2","6","3","2","15","10","13","- - -","Juv",""
"Alex Gilbert","183 cm","IRL","6.500 € p/m","Brentford","Premier Division inglesa","19","MP (I), DL (C)","230m € - 700m €","11","12","11","3","7","10","11","13","11","6","3","10","3","2","13","13","10","11","1","13","10","10","4","2","6","12","4","9","1","9","5","13","10","9","10","9","2","5","10","9","1","9","11","3","11","12","12","- - -","Seg",""
"Luigi Gaspar","179 cm","BRA","5.000 € p/m","Arsenal","Premier Division inglesa","17","ME (C)","9m € - 90m €","13","13","5","2","5","8","13","10","3","1","1","2","2","2","11","7","6","2","3","15","1","13","7","1","9","7","3","4","1","6","6","12","6","6","13","3","3","5","5","5","1","4","7","3","5","13","13","- - -","",""
"Kane Crichlow","162 cm","BER","2.600 € p/m","Watford","Premier Division inglesa","20","ME/MP (C)","0 € - 55m €","8","11","6","1","6","11","11","10","7","1","4","6","3","2","12","9","8","9","2","12","3","7","7","2","10","7","3","5","3","14","6","2","7","14","8","8","1","5","5","4","4","6","5","2","13","12","10","- - -","",""
"Derek Agyakwa","188 cm","NED","2.600 € p/m","Watford","Premier Division inglesa","19","DF (C)","10m € - 110m €","5","13","9","1","1","1","2","6","5","1","2","1","1","3","7","5","3","3","3","14","5","6","13","1","13","6","2","8","2","7","12","19","5","11","5","10","1","12","1","6","2","9","11","3","11","13","9","- - -","Seg",""
"Pálmi Rafn Arinbjörnsson","191 cm","ISL","1.900 € p/m","Wolves","Premier Division inglesa","17","POR","18m € - 180m €","3","8","13","8","4","2","1","1","4","2","5","3","2","5","4","3","3","2","12","12","2","7","2","7","4","5","15","3","15","5","3","16","2","12","1","7","5","9","2","1","12","5","9","11","13","10","9","- - -","Est",""
"Michael Reindorf","169 cm","ENG","700 € p/m","Norwich","Premier Division inglesa","16","MP (DIC)","110m € - 325m €","12","11","4","2","7","7","11","9","10","4","3","7","3","3","8","12","6","10","1","13","8","11","5","2","4","10","3","9","2","9","6","13","12","6","9","6","2","6","9","6","3","5","8","3","5","10","11","- - -","Juv",""
"Billy Vigar","176 cm","ENG","700 € p/m","Arsenal","Premier Division inglesa","17","DL (C)","160m € - 450m €","8","13","15","1","6","4","9","9","8","3","3","6","2","3","13","9","8","7","1","14","5","7","5","1","4","13","3","4","3","11","5","6","7","8","14","6","3","3","4","8","3","6","6","3","15","12","8","- - -","Juv",""
"Nicolò Cavuoti","174 cm","ITA","900 € p/m","Cagliari","Serie A italiana","18","ME/MP (C)","7m € - 65m €","10","12","10","2","9","8","12","8","8","5","3","8","2","2","11","10","7","11","3","13","9","11","5","4","6","11","2","7","2","10","6","12","11","12","11","11","4","5","9","7","2","11","6","3","9","13","12","- - -","Ced",""
"Niccolò Ghisleni","173 cm","ITA","2.200 € p/m","Atalanta","Serie A italiana","20","ME/MP (DC)","16m € - 170m €","11","11","10","2","7","10","12","12","10","8","3","7","1","3","10","11","9","12","3","13","10","11","9","2","8","10","2","11","3","10","10","13","9","9","11","10","3","12","8","8","1","10","8","3","10","13","12","- - -","Ced",""
"Endri Celaj","170 cm","ALB","1.300 € p/m","Verona","Serie A italiana","17","DL (C)","24m € - 70m €","5","12","6","2","4","5","12","12","7","1","2","4","2","1","5","5","13","13","2","9","7","5","4","3","3","4","3","1","1","2","1","12","5","8","11","1","2","4","5","11","2","5","1","2","8","12","13","- - -","nUE",""
"Nicola Patanè","178 cm","ITA","1.300 € p/m","Verona","Serie A italiana","17","MC, ME (C)","0 € - 90m €","12","12","7","3","5","8","13","5","6","3","1","3","3","4","11","9","6","5","3","15","2","13","6","1","5","6","2","3","3","6","10","6","4","11","10","5","1","6","4","5","2","5","8","3","7","12","12","- - -","",""
"Katia Kouyaté","183 cm","ENG","3.500 € p/m","Everton","Premier Division inglesa","17","MP (DI), DL (C)","18m € - 180m €","8","13","4","3","5","6","8","12","3","1","2","5","1","3","7","3","8","7","1","10","3","10","2","1","1","6","1","9","3","9","5","14","10","9","7","2","3","1","7","7","3","7","7","2","14","6","15","- - -","Les",""
"Filippo Fabbian","186 cm","ITA","900 € p/m","Verona","Serie A italiana","16","ME (C)","40m € - 110m €","5","13","5","3","5","9","11","5","8","3","3","5","2","3","9","4","6","5","3","10","4","13","9","2","1","6","1","4","3","6","10","8","6","13","13","4","3","7","5","4","2","4","12","1","12","12","13","- - -","Juv",""
"Mattia Chiesa","190 cm","ITA","2.000 € p/m","Verona","Serie A italiana","20","POR","22m € - 220m €","7","9","10","12","5","2","4","2","8","3","8","2","9","14","7","5","1","3","14","9","2","9","2","11","5","8","9","7","7","8","1","15","2","14","2","8","10","11","1","1","12","6","15","14","9","8","9","- - -","Ced",""
"Frankie Ealing","176 cm","ENG","700 € p/m","Aston Villa","Premier Division inglesa","16","DF/ME/MP (D)","85m € - 240m €","6","13","7","2","6","6","8","13","7","2","1","5","2","1","8","5","2","10","3","17","3","10","7","2","4","7","3","4","2","5","8","3","5","8","9","7","1","5","9","1","3","7","8","3","14","12","14","- - -","Juv",""
"John Lucero","177 cm","ENG","700 € p/m","Brighton","Premier Division inglesa","17","DF (C), MC, ME (C)","26m € - 275m €","8","10","7","1","5","6","8","5","5","4","1","3","3","2","11","6","2","7","2","13","4","9","8","2","9","8","3","6","3","7","13","11","7","13","9","6","1","10","4","7","3","9","4","1","9","11","10","- - -","Les",""
"Josh Lane","188 cm","ENG","700 € p/m","Aston Villa","Premier Division inglesa","17","POR","16m € - 160m €","5","12","12","6","4","3","3","1","3","1","7","2","8","12","5","3","2","2","13","17","2","9","2","11","9","6","11","5","5","6","2","6","1","12","1","6","10","5","2","1","13","4","8","7","14","5","10","- - -","Juv",""
"Seydoux Wassa","193 cm","FRA","400 € p/m","Strasbourg","Ligue 1 Uber Eats","17","DF (C)","40m € - 425m €","6","6","9","3","2","8","8","5","9","1","3","4","2","1","9","5","8","4","3","5","6","7","8","2","12","8","3","7","3","9","14","5","6","10","9","10","3","8","7","10","4","9","16","1","10","5","7","- - -","Juv",""
"Teddy Rowe","180 cm","ENG","700 € p/m","Aston Villa","Premier Division inglesa","17","ME/MP (C)","6m € - 55m €","9","6","7","1","6","9","14","12","6","2","1","7","3","1","13","8","7","10","3","15","2","11","4","1","6","14","3","5","3","9","10","13","13","15","10","4","4","10","4","6","1","9","7","3","15","9","5","- - -","Juv",""
"Dewain Sewell","178 cm","ENG","700 € p/m","Aston Villa","Premier Division inglesa","17","MP (DC), DL (C)","55m € - 550m €","4","11","7","3","5","7","8","8","7","5","1","5","1","2","10","5","10","10","2","11","4","9","3","3","1","6","1","9","1","13","4","10","5","10","13","3","3","1","7","7","2","7","6","1","9","6","14","- - -","Juv",""
"Tommi O'Reilly","181 cm","ENG","700 € p/m","Aston Villa","Premier Division inglesa","17","ME/MP (DI)","130m € - 375m €","9","13","7","3","5","5","9","15","4","5","2","5","3","2","7","5","8","12","1","5","3","6","3","1","5","6","1","6","1","5","3","5","10","7","13","5","3","2","10","4","2","7","5","1","6","11","14","- - -","Juv",""
"Ilyas Chaira","186 cm","MAR","1.900 € p/m","Costa Brava","Primera División Federación B española","20","ME (I), MP (DI), DL (C)","0 € - 95m €","7","11","4","3","1","7","8","14","7","4","2","4","2","3","8","13","8","13","3","9","1","9","6","4","2","7","1","4","3","7","7","15","13","11","8","7","4","4","9","7","3","10","10","3","14","12","9","- - -","",""
"Joshua Fahrner","175 cm","FRA","400 € p/m","Strasbourg","Ligue 1 Uber Eats","17","MC, ME (C)","10m € - 100m €","8","7","5","2","7","7","9","5","7","7","3","7","3","3","13","11","7","4","4","13","2","13","8","1","10","14","3","8","4","8","14","5","8","13","9","10","3","9","4","7","3","10","7","3","15","7","6","- - -","Juv",""
"Yoann Dumay","179 cm","FRA","300 € p/m","Strasbourg","Ligue 1 Uber Eats","16","DF (DC)","55m € - 550m €","7","8","10","2","4","8","9","5","8","8","1","9","3","2","11","10","6","10","3","15","9","11","9","2","2","10","2","7","2","11","15","8","7","10","12","7","4","9","9","12","1","10","11","1","10","10","7","- - -","Juv",""
"Erion Sadiku","183 cm","KVX","3.500 € p/m","Genoa","Serie A italiana","19","DF (C), MC, ME (C)","190m € - 1,9M €","11","12","10","4","10","10","11","8","12","8","3","10","3","3","12","12","7","10","2","12","9","11","9","2","8","12","3","11","1","11","9","13","10","10","11","11","1","12","10","9","4","12","11","1","10","8","11","- - -","Ced",""
"Ryan Bartley","189 cm","ENG","700 € p/m","Crystal Palace","Premier Division inglesa","17","DF (DC)","50m € - 150m €","1","13","8","1","1","2","5","5","3","1","1","2","4","3","6","11","2","9","4","17","1","5","7","3","1","5","3","6","2","6","11","10","5","13","11","5","3","11","8","11","2","7","11","1","5","11","13","- - -","Juv",""
"Jake Gee","172 cm","ENG","700 € p/m","Brighton","Premier Division inglesa","16","ME/MP (C)","60m € - 600m €","10","10","8","2","5","10","9","6","7","3","2","8","4","2","13","8","6","12","3","14","5","8","10","2","8","15","3","6","2","6","10","11","13","7","8","7","2","8","8","6","4","8","10","2","15","8","12","- - -","Juv",""
"Matty Vigor","178 cm","ENG","700 € p/m","Crystal Palace","Premier Division inglesa","17","DL (C)","3,5m € - 35m €","4","12","5","2","5","6","9","12","6","1","2","4","2","3","6","11","12","9","1","13","4","4","3","3","1","5","1","3","2","6","1","9","12","8","11","6","2","6","2","13","2","6","5","3","9","10","12","- - -","Juv",""
"Jack Hinshelwood","180 cm","ENG","700 € p/m","Brighton","Premier Division inglesa","16","ME (C)","22m € - 210m €","9","11","11","1","8","10","7","5","7","4","3","8","3","1","14","9","9","5","2","15","3","7","9","1","7","10","2","8","4","10","9","9","10","8","8","8","3","8","8","5","3","7","9","1","15","6","11","- - -","Juv",""
"Maliq Cadogan","193 cm","ENG","700 € p/m","Crystal Palace","Premier Division inglesa","17","MP (DI)","0 € - 85m €","6","11","5","3","4","8","10","8","4","5","2","5","1","1","7","3","6","10","3","9","3","9","5","3","11","6","4","6","2","13","6","4","9","11","12","7","1","5","8","2","3","6","15","3","5","10","11","- - -","Juv",""
"Darryl Ombang","187 cm","ENG","700 € p/m","Leeds","Premier Division inglesa","15","POR","20m € - 190m €","5","13","10","8","4","2","1","1","4","1","5","1","7","11","5","3","1","3","13","14","2","10","2","11","3","6","12","4","5","6","3","11","3","13","1","11","9","6","2","1","8","6","11","13","10","11","10","- - -","Juv",""
"Junior Robinson","171 cm","ENG","700 € p/m","West Ham","Premier Division inglesa","17","DF (D)","35m € - 375m €","9","12","9","3","2","5","7","5","8","8","3","4","3","3","9","10","1","7","1","9","4","6","9","2","15","9","3","8","1","9","11","11","7","8","9","7","1","7","5","9","3","10","9","2","7","15","12","- - -","Juv",""
"Gabriele Fogli","194 cm","ITA","900 € p/m","Fiorentina","Serie A italiana","18","POR","16m € - 150m €","7","7","15","11","8","3","5","3","8","1","9","4","9","15","6","1","2","3","9","10","2","8","3","10","7","8","9","5","5","5","3","9","2","10","3","10","10","10","2","1","14","11","13","11","8","10","12","- - -","Ced",""
"Matthew Mallon","185 cm","ENG","700 € p/m","Everton","Premier Division inglesa","17","DF (DC)","50m € - 500m €","1","14","8","1","1","3","3","5","5","4","3","5","3","1","5","5","1","5","3","12","1","6","12","1","9","6","4","11","2","6","10","17","1","12","7","5","1","8","9","7","3","6","9","2","11","12","10","- - -","Juv",""
"Junior Dixon","177 cm","ENG","700 € p/m","Crystal Palace","Premier Division inglesa","16","DL (C)","90m € - 250m €","5","8","11","2","6","2","8","7","8","1","3","6","2","3","7","7","8","8","1","12","5","7","4","4","6","6","1","13","3","14","2","8","6","13","11","3","2","5","4","14","2","4","9","1","15","7","8","- - -","Juv",""
